time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
1989-10-01 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,107649.324000,    0.000000,360526.922733,    0.000000,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.079742,    4.466572,    2.701476,    2.701476,    0.000000,    0.000000,    0.000000, -332.565768,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.442609,    0.001300,    0.001300,    0.000000
1989-10-02 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,107649.324000,    0.000000,102195.724672,-5463.116641,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.080086,    4.687583,    4.687026,    4.687583,  157.203774,   -3.977836,   76.635279,  -39.107120,   81.609317,    0.000000,    0.225025,    5.356668,    1.852264,    0.000000,    0.253825,    0.001300,    0.001300,    0.000000
1989-10-03 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,107649.324000,    0.000000,55683.830111,-52054.995898,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.080430,    4.671691,    4.671142,    4.671691,  156.206509,  -37.903617,    0.459968, -112.602274,   79.496799,    0.000000,    0.174990,    4.231324,    1.646242,    0.000000,    0.253825,    0.001300,    0.001300,    0.000000
1989-10-04 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,112542.475075,    0.000000,83865.833042,-43877.534329,15151.063609,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.080774,    4.674520,    4.511561,    4.674520,  156.962615,  -31.950321,   -5.284611, -122.727498,   70.693888,    0.000000,    0.105964,    2.622913,    1.296126,    0.000000,    0.097410,    0.001300,    0.001300,    0.000000
1989-10-05 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,161473.986000,    0.000000,839903.912779,-11626.965907,689734.649497,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.081118,    4.682146,    4.681326,    4.682146,   55.683849,   -8.466178,   12.587160,  -34.087047,   37.541241,    0.000000,    0.161304,    3.918059,    1.584130,    0.000000,    0.244671,    0.001300,    0.001300,    0.000000
1989-10-06 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,181046.590387,    0.000000,175971.039341,-9406.685886, 4322.271031,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.081462,    4.835339,    4.834412,    4.835339,  112.728318,   -6.848389,   44.370531,  -47.332891,   47.584390,    0.000000,    0.241017,    5.710158,    1.912403,    0.000000,    0.313049,    0.001300,    0.001300,    0.000000
1989-10-07 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,146794.532774,    0.000000,106923.486072,-39939.947493,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.081805,    4.883644,    4.797806,    4.883644,  118.156083,  -29.076946,   10.036850,  -60.008502,   53.689575,    0.000000,    0.120211,    2.960772,    1.377076,    0.000000,    0.155690,    0.001300,    0.001300,    0.000000
1989-10-08 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,132115.079462,    0.000000,113638.872535,-25442.810704, 6934.461357,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.082148,    4.882163,    4.768641,    4.882163,  137.496895,  -18.522409,    2.472395, -112.563140,   44.501888,    0.000000,    0.099654,    2.472299,    1.258363,    0.000000,    0.251447,    0.001300,    0.001300,    0.000000
1989-10-09 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,122328.777226,    0.000000,130433.535705,-23810.936756,31929.571708,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.082490,    4.908949,    4.787138,    4.908949,  131.663459,  -17.334725,   10.928780,  -93.222675,   36.837308,    0.000000,    0.166515,    4.037569,    1.608109,    0.000000,    0.349271,    0.001300,    0.001300,    0.000000
1989-10-10 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,122328.777226,    0.000000,215556.204747,-5939.175031,99331.992603,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.082831,    5.021337,    4.884641,    5.021337,  140.078567,   -4.323399,   23.039575,  -78.373977,   44.649042,    0.000000,    0.124050,    3.051284,    1.397966,    0.000000,    0.081914,    0.001300,    0.001300,    0.000000
1989-10-11 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,122328.777226,    0.000000,113003.575932,-9341.455350,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.083171,    5.196144,    5.195641,    5.196144,  139.763541,   -6.799776,   66.030371,  -77.854152,   42.289719,    0.000000,    0.343765,    7.919805,    2.252230,    0.000000,    0.254007,    0.001300,    0.001300,    0.000000
1989-10-12 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,117435.626150,    0.000000,109315.569049,-8134.217092,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.083511,    5.381741,    5.193499,    5.381741,  141.048739,   -5.918749,   51.846784,  -76.624060,   39.425099,    0.000000,    0.144926,    3.539491,    1.505656,    0.000000,    0.089573,    0.001300,    0.001300,    0.000000
1989-10-13 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,117435.626150,    0.000000,108689.023234,-8761.850954,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.083849,    5.897051,    5.312017,    5.897051,  132.872994,   -6.375653,   30.451057,  -68.042221,   34.568429,    0.000000,    0.075349,    1.887105,    1.099394,    0.000000,    0.401267,    0.001300,    0.001300,    0.000000
1989-10-14 24:00:00,494638433.646691,    0.000000,    0.000000,    0.000000,112542.475075,    0.000000,112542.475075,    0.000000,    0.000000,    0.000000,    0.000000,   24.993600,39581169.519968,    0.000000,    0.000000,    0.000000,    0.000000,    0.084186,    5.813715,    5.338771,    5.813715,  126.629724,    0.000000,   50.091805,  -45.596208,   30.248742,    0.000000,    0.079022,    1.975981,    1.124985,    0.000000,    0.091961,    0.001300,    0.001300,    0.000000
